time,open,high,low,close
2020-09-22,167.36,170.7,167.36,169.47
2020-09-23,169.47,169.47,164.28,164.53
2020-09-24,164.53,167.36,163.98,165.14
2020-09-25,165.14,168.54,164.19,168.37
2020-09-28,168.37,172.05,168.37,171.24
2020-09-29,171.24,171.32,169.19,170.25
2020-09-30,170.25,172.61,169.39,171.18
2020-10-01,171.18,173.88,170.61,173.85
2020-10-02,173.85,177.14,171.23,176.6
2020-10-05,176.6,177.82,174.03,177.65
2020-10-06,177.65,178.57,175.58,176.28
2020-10-07,176.28,177.73,176.02,176.77
2020-10-08,176.77,180.23,176.77,179.58
2020-10-09,179.58,180.6,178.3,179.03
2020-10-12,179.03,180.31,178.26,179.91
2020-10-13,179.91,179.91,175.91,176.86
2020-10-14,176.86,177.1,174.56,174.8
2020-10-15,174.8,177.05,173.71,175.61
2020-10-16,175.61,176.04,174.39,174.88
2020-10-19,174.88,175.7,172.02,172.16
2020-10-20,172.16,174.65,172.16,173.42
2020-10-21,173.42,173.82,172.37,172.78
2020-10-22,172.78,172.87,171.24,171.48
2020-10-23,171.48,173.13,171.34,172.64
2020-10-26,172.64,172.64,168.97,170.55
2020-10-27,170.55,171.66,168.42,168.43
2020-10-28,168.43,168.43,164,164.37
2020-10-29,164.37,167.94,163.66,166.58
2020-10-30,166.58,166.58,163.42,165.35
2020-11-02,165.35,169.56,165.35,169.56
2020-11-03,169.81,173.22,169.81,172.35
2020-11-04,172.35,175.76,171.89,172.8
2020-11-05,172.8,174.95,172.59,173.34
2020-11-06,173.34,174.63,171.96,172.6
2020-11-09,172.6,189.12,172.6,177.11
2020-11-10,177.11,178.99,176.43,178.06
2020-11-11,178.06,180.43,177.57,179.42
2020-11-12,179.42,179.81,176.48,177.58
2020-11-13,177.58,181.96,177.58,181.63
2020-11-16,181.63,184.95,180.54,182.58
2020-11-17,182.58,183.48,180.31,182.79
2020-11-18,182.79,184.57,179.71,179.71
2020-11-19,179.71,180.3,177.42,179.94
2020-11-20,179.94,180.19,178.2,178.77
2020-11-23,178.77,180.12,177.86,178.18
2020-11-24,178.18,180.84,177.88,178.15
2020-11-25,178.15,178.85,177.05,178.53
2020-11-27,178.53,179.25,177.49,178.12
2020-11-30,178.12,178.12,175.81,176.67
2020-12-01,176.67,179.46,176.67,178.91
2020-12-02,178.91,179.41,176.83,176.92
2020-12-03,176.92,179.07,176.92,178.22
2020-12-04,178.22,180.69,178.22,180.59
2020-12-07,180.59,180.68,178.27,178.89
2020-12-08,178.89,179.25,177.89,178
2020-12-09,178,178.41,175.23,176.27
2020-12-10,176.27,177.05,174.82,175.41
2020-12-11,175.41,175.44,173.47,175.4
2020-12-14,175.4,177.6,173.76,173.86
2020-12-15,172.64,176.89,172.64,176.87
2020-12-16,176.87,178.11,175.91,176.9
2020-12-17,176.9,179.15,176.9,179.03
2020-12-18,179.03,179.12,174.55,175.76
2020-12-21,175.76,175.76,172.61,174.36
2020-12-22,174.36,175.49,173.75,175.43
2020-12-23,175.43,176.92,173.71,173.76
2020-12-24,173.76,175.23,173.76,175.21
2020-12-28,175.21,176.83,175.05,176.71
2020-12-29,176.71,178.25,175.38,175.46
2020-12-30,175.46,177.5,175.3,176.09
2020-12-31,176.09,178.39,174.85,178.33
2021-01-04,178.33,178.93,172.43,172.45
2021-01-05,172.45,173.85,172.17,172.32
2021-01-06,172.32,172.5,170.52,171.37
2021-01-07,171.37,172.5,170.75,171.9
2021-01-08,171.9,174.3,171.9,173.77
2021-01-11,173.77,173.77,170.4,170.89
2021-01-12,170.89,171.18,168.85,170.99
2021-01-13,170.99,173.66,170.99,173.37
2021-01-14,173.37,175.54,173.01,174.44
2021-01-15,174.44,177.39,173.72,176.99
2021-01-19,176.99,178.02,175.62,176.03
2021-01-20,176.03,180.29,175.53,179.51
2021-01-21,179.51,179.51,177.3,178.9
2021-01-22,178.9,179.87,177.98,179.44
2021-01-25,179.44,182.1,178.67,180.92
2021-01-26,180.92,183.39,180.92,182.98
2021-01-27,182.98,183.55,179.41,180.44
2021-01-28,180.44,183.19,179.36,181.02
2021-01-29,181.02,181.68,178.02,179.17
2021-02-01,179.17,183.24,178.03,183.23
2021-02-02,183.23,184.82,182.81,183.98
2021-02-03,183.98,183.98,180.79,183.3
2021-02-04,183.3,185.34,183.05,184.2
2021-02-05,184.2,185.12,184.03,184.84
2021-02-08,184.84,185.26,183.62,185.25
2021-02-09,185.25,186.63,185.06,186.12
2021-02-10,186.12,188.57,186.12,187.24
2021-02-11,187.24,188.11,186.02,187.02
2021-02-12,187.02,187.4,185.32,186.91
2021-02-16,186.91,187.23,184.01,184.93
2021-02-17,184.93,185.34,183.73,185.07
2021-02-18,185.07,185.19,184.23,185.03
2021-02-19,185.03,186.79,185.03,185.47
2021-02-22,185.47,187.23,184.54,186.47
2021-02-23,186.47,188.07,186.47,187.06
2021-02-24,187.06,188.67,186.51,188.09
2021-02-25,188.09,189.31,183.78,185.1
2021-02-26,185.1,185.4,181.68,181.73
2021-03-01,181.73,185.02,181.73,182.02
2021-03-02,182.02,182.02,179.36,180.72
2021-03-03,180.72,180.8,178.35,178.61
2021-03-04,178.61,180.62,175.52,177.23
2021-03-05,177.23,180.05,174.67,179.27
2021-03-08,179.27,182.34,178.53,180.22
2021-03-09,180.22,183.4,180.22,182.14
2021-03-10,182.14,185.02,182.07,183.93
2021-03-11,183.93,188.01,183.93,186.7
2021-03-12,186.7,189.56,186.13,189.51
2021-03-15,189.51,192.17,188.59,191.74
2021-03-16,191.74,192.54,190.81,191.7
2021-03-17,191.7,191.7,189.67,191.39
2021-03-18,191.39,191.39,188.66,189.98
2021-03-19,189.98,190.77,187.57,187.58
2021-03-22,187.58,190.2,187.05,189.67
2021-03-23,189.67,191.56,189.35,190.33
2021-03-24,190.33,191.26,188.76,189.32
2021-03-25,189.32,191.16,187.43,190.81
2021-03-26,190.81,195.65,190.81,195.51
2021-03-29,195.51,196.04,192.83,195.17
2021-03-30,195.17,195.17,193.76,194.22
2021-03-31,194.22,195.33,192.28,193.27
2021-04-01,193.27,196.38,193.27,196.32
2021-04-05,196.32,197.56,195.59,197.51
2021-04-06,197.51,197.87,196.25,197.86
2021-04-07,197.86,198.66,196.41,198.15
2021-04-08,198.15,199.1,196.93,197.04
2021-04-09,197.04,197.64,196.52,197.31
2021-04-12,197.31,198.43,196.04,198.4
2021-04-13,198.4,199.81,198.01,199.65
2021-04-14,199.65,200.55,198.15,198.27
2021-04-15,198.27,202.19,198.27,202.15
2021-04-16,202.15,203.1,201.94,202.49
2021-04-19,202.49,203.12,201.3,203.08
2021-04-20,203.08,205.89,202.58,205.36
2021-04-21,205.36,206.65,205.14,206.19
2021-04-22,206.19,207.16,205.11,205.41
2021-04-23,205.41,207.13,205.27,206.61
2021-04-26,206.61,208.14,206.48,207.03
2021-04-27,207.03,207.62,206.57,206.98
2021-04-28,206.98,207.73,206.14,206.27
2021-04-29,206.27,208.25,206.27,207.68
2021-04-30,207.68,209.33,206.87,208.96
2021-05-03,208.96,209.33,207.71,207.97
2021-05-04,207.97,208.81,205.49,206.7
2021-05-05,206.7,206.7,202.83,203.56
2021-05-06,203.56,204.92,203.03,204.65
2021-05-07,204.65,207.23,204.64,207.12
2021-05-10,207.12,209.79,207.12,207.84
2021-05-11,207.84,207.84,203.72,205.53
2021-05-12,205.53,205.53,200.45,200.66
2021-05-13,200.66,204.23,200.66,203.02
2021-05-14,203.02,205.76,203.02,205.07
2021-05-17,205.07,205.55,204.4,205.06
2021-05-18,205.06,206.61,203.68,205.4
2021-05-19,205.4,205.4,201.95,204.55
2021-05-20,204.55,207.92,204.12,207.29
2021-05-21,207.29,207.93,206.48,206.93
2021-05-24,206.93,210.01,206.93,209.12
2021-05-25,209.12,210.42,208.23,209.76
2021-05-26,209.76,211.51,209.46,210.23
2021-05-27,210.23,210.92,209.68,209.9
2021-05-28,209.9,211.99,209.9,211.25
2021-06-01,211.25,214.83,211.25,214.82
2021-06-02,214.82,217.95,214.79,217.84
2021-06-03,217.84,217.84,216.06,217.39
2021-06-04,217.39,218.25,216.58,217.67
2021-06-07,217.67,220.48,217.67,219.66
2021-06-08,219.66,221.49,219.66,220.78
2021-06-09,220.78,222.02,220.78,221.13
2021-06-10,221.13,223.73,220.6,223.23
2021-06-11,223.23,223.23,220.93,221.91
2021-06-14,221.91,222.86,221.31,222.85
2021-06-15,222.85,222.85,220.51,220.54
2021-06-16,220.54,221.75,218.52,218.6
2021-06-17,218.6,219.51,217.55,219.35
2021-06-18,219.35,219.4,216.03,216.06
2021-06-21,216.06,220.69,216.06,220.21
2021-06-22,220.21,220.27,219.13,219.24
